"export-plot data (NetLogo 5.1.0)"
"OM_Metamimetic_Networks.nlogo"
"05/05/2015 14:59:47:672 +0200"

"MODEL SETTINGS"
"*-connection-probability","*-num-agents","*-initial-mini-%","*-cultural-constant","*-initial-conf-%","*-strength-of-dilemma","*-initial-maxi-%","*-initial-neighbours","*-rewiring-probability","*-scale-free-exponent","colormap-view","load-topology","*-replacement?","*-inicoop","*-topology","*-initial-random-types?","filename"
"0.102","50","0","2.782","50","0.5","0","8","0.175","2.26","""Strategies""","false","true","100","""Small-World""","true","""gs.txt"""

"""Cooperation and Satisfaction"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","500","0","1","true","""perception""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""Cooperation""","true","0","1","15","133"
"""Satisfaction""","true","0","1","105","133"
"""perception""","true","0","1","5","133"

"""Cooperation""",,,,"""Satisfaction""",,,,"""perception"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0.88","15","true","0","0.9283333333333335","105","true","0","0.9231481481481485","5","true"
"1","0.56","15","true","1","0.589492781800304","105","true","1","0.5945804033451525","5","true"
"2","0.6","15","true","2","0.7027405962762332","105","true","2","0.6948530453531224","5","true"
"3","0.58","15","true","3","0.7979117446484117","105","true","3","0.7962450485453035","5","true"
"4","0.58","15","true","4","0.8719468853697873","105","true","4","0.870384047954585","5","true"
"5","0.64","15","true","5","0.8022049607654067","105","true","5","0.7964670013436222","5","true"
"6","0.58","15","true","6","0.8924557423069562","105","true","6","0.8908420633293374","5","true"
"7","0.58","15","true","7","0.8845123213472403","105","true","7","0.8772044012343078","5","true"
"8","0.58","15","true","8","0.8685860936675686","105","true","8","0.8675750308800435","5","true"
"9","0.62","15","true","9","0.8542642310103753","105","true","9","0.8581648162814183","5","true"
"10","0.6","15","true","10","0.8690237361179796","105","true","10","0.8627496182777528","5","true"
"11","0.6","15","true","11","0.885149543885317","105","true","11","0.8800913911125671","5","true"
"12","0.62","15","true","12","0.8773270569056487","105","true","12","0.8729310507128539","5","true"
"13","0.6","15","true","13","0.9053305956195584","105","true","13","0.898510224890578","5","true"
"14","0.6","15","true","14","0.8950439518828175","105","true","14","0.8909016240258931","5","true"
"15","0.58","15","true","15","0.9021753621392279","105","true","15","0.8987167949660636","5","true"
"16","0.58","15","true","16","0.9024806581195237","105","true","16","0.8995804222380243","5","true"
"17","0.58","15","true","17","0.9093556581195239","105","true","17","0.9064554222380246","5","true"
"18","0.58","15","true","18","0.9024806581195237","105","true","18","0.8995804222380245","5","true"
"19","0.58","15","true","19","0.9093556581195237","105","true","19","0.9064554222380242","5","true"
"20","0.58","15","true","20","0.902480658119524","105","true","20","0.8995804222380243","5","true"
"21","0.6","15","true","21","0.9096586884225539","105","true","21","0.906691112473715","5","true"
"22","0.56","15","true","22","0.8715219013871804","105","true","22","0.871156302446923","5","true"
"23","0.58","15","true","23","0.915264759870328","105","true","23","0.9138338259657","5","true"
"24","0.56","15","true","24","0.8313004691291361","105","true","24","0.83818833838084","5","true"
"25","0.54","15","true","25","0.851194851939636","105","true","25","0.8537555783451858","5","true"
"26","0.54","15","true","26","0.8304778722381339","105","true","26","0.8382374961430251","5","true"
"27","0.52","15","true","27","0.7930878574772341","105","true","27","0.8007659700523816","5","true"
"28","0.52","15","true","28","0.8241365748980354","105","true","28","0.8259489340449937","5","true"
"29","0.5","15","true","29","0.8487833581246291","105","true","29","0.8528370835004793","5","true"
"30","0.52","15","true","30","0.8406238333607664","105","true","30","0.8434822435543633","5","true"
"31","0.5","15","true","31","0.8659473485336481","105","true","31","0.8650094962725678","5","true"
"32","0.52","15","true","32","0.8672762143131473","105","true","32","0.8659362118083316","5","true"
"33","0.5","15","true","33","0.8439015027079994","105","true","33","0.8370619570125594","5","true"
"34","0.5","15","true","34","0.8752794345431755","105","true","34","0.8728479449613689","5","true"
"35","0.5","15","true","35","0.8752794345431752","105","true","35","0.8728479449613687","5","true"
"36","0.5","15","true","36","0.8701466228373006","105","true","36","0.866945535153777","5","true"
"37","0.52","15","true","37","0.8610977105456942","105","true","37","0.8531082923542989","5","true"
"38","0.54","15","true","38","0.8660764473987043","105","true","38","0.8575420263818471","5","true"
"39","0.52","15","true","39","0.8683562677903233","105","true","39","0.8659784011756556","5","true"
"40","0.52","15","true","40","0.8647547051819138","105","true","40","0.8634896612362231","5","true"
"41","0.56","15","true","41","0.8534887119159207","105","true","41","0.8489004356469977","5","true"
"42","0.56","15","true","42","0.8669859798955615","105","true","42","0.8639642527509687","5","true"
"43","0.54","15","true","43","0.8454853302370171","105","true","43","0.8380369036657254","5","true"
"44","0.56","15","true","44","0.8615584407303973","105","true","44","0.8589249063685972","5","true"
"45","0.56","15","true","45","0.8553725482821298","105","true","45","0.8507018994886157","5","true"
"46","0.52","15","true","46","0.8406513472451392","105","true","46","0.8321095545804816","5","true"
"47","0.52","15","true","47","0.8358723819893192","105","true","47","0.8326995877782802","5","true"
"48","0.48","15","true","48","0.7934920789192879","105","true","48","0.7882146892945847","5","true"
"49","0.52","15","true","49","0.7193229469563381","105","true","49","0.7147961855183528","5","true"
"50","0.54","15","true","50","0.680115414123225","105","true","50","0.6814221881316291","5","true"
"51","0.54","15","true","51","0.765512206538093","105","true","51","0.7592277644301896","5","true"
"52","0.56","15","true","52","0.7557418476730372","105","true","52","0.7501851475012223","5","true"
"53","0.5","15","true","53","0.7986694861844569","105","true","53","0.7963627657538196","5","true"
"54","0.52","15","true","54","0.8436750499213125","105","true","54","0.8394588435527827","5","true"
"55","0.54","15","true","55","0.9116150884116059","105","true","55","0.909337798643601","5","true"
"56","0.52","15","true","56","0.8150788221505149","105","true","56","0.8190117369293483","5","true"
"57","0.48","15","true","57","0.8348711525553254","105","true","57","0.8275472686407587","5","true"
"58","0.48","15","true","58","0.7786452991283117","105","true","58","0.7716503595926124","5","true"
"59","0.48","15","true","59","0.8107485675690178","105","true","59","0.8133876644567677","5","true"
"60","0.48","15","true","60","0.8345374776203015","105","true","60","0.8343232991324037","5","true"
"61","0.5","15","true","61","0.832354401176739","105","true","61","0.8297203394165569","5","true"
"62","0.52","15","true","62","0.8823544011767391","105","true","62","0.8797203394165566","5","true"
"63","0.5","15","true","63","0.869504032943225","105","true","63","0.8669239937037317","5","true"
"64","0.48","15","true","64","0.9230310290854955","105","true","64","0.9258331876207927","5","true"
